sourceid,RA,Dec,prlx,magnitude
418551920284673408,10.127242,56.537189,14.090976,-2.312770623972578
4357027756659697664,243.586211,-3.694968,20.411292,-1.434222521566232
5589311357728452608,109.285594,-37.097444,5.762063,-4.113872988172176
4993479684438433792,6.572156,-42.30782,39.918258,0.09583590387142671
4038055447778237312,274.40609,-36.762429,23.885852,-0.9928013148591184
1279798794197267072,221.246486,27.074316,13.826673,-2.1130595403660832
160886283751041408,74.248437,33.166015,7.249065,-3.50104803026713
4302054339959905920,296.564986,10.613253,5.589928,-4.039276929623407
1222646935698492160,233.672544,26.714295,42.240801,0.398030725017712
5111187420714898304,59.507642,-13.509013,17.001629,-1.5767543249270854
1563590579347125632,200.982373,54.925259,40.213284,0.304494705086932
4049506483413484672,275.248682,-29.828224,7.846769,-3.2295636617034287
6227443304915069056,226.017201,-25.282159,12.538655,-2.2053332351525654
804753180515722624,155.581761,41.499664,17.798718,-1.423546388898389
4429785739602747392,236.067574,6.425833,43.944974,0.5399000592920729
2106630885454013184,283.833884,43.946451,10.44041,-2.544729230212236
5922444483103229952,261.324886,-55.529997,4.560054,-4.313868072025231
6407842789021567872,334.624779,-60.259775,17.732356,-1.3595047913064544
856096765753549056,165.460974,56.382577,38.60308,0.33164578419305446
3704342295607157120,193.898778,3.39723,17.40648,-1.3926682228559404
4473334474604992384,265.867947,4.568012,39.228445,0.41033046604864243
3501215734352781440,188.596818,-23.397012,22.004927,-0.8391173392201914
2202630001603369856,325.876944,58.780028,0.119024,-12.171101293178467
4629125170492116224,56.810584,-74.238453,15.079347,-1.6340833243063626
702343774145932544,140.262573,34.392633,14.704196,-1.6741395848934868
1625209684868707328,245.997707,61.514464,35.716328,0.2587490132169368
6126469654585981952,182.089393,-50.722481,5.717933,-3.7055476890146366
5917537534527580160,254.654913,-55.990299,5.772484,-3.682400310868431
5361403934691772160,161.692865,-49.420477,29.050584,-0.17083166311040543
4076915349846977664,276.992443,-25.422523,42.919834,0.7067961679346864
5306951892646516992,142.805226,-57.03435,14.623397,-1.6282136474972848
1297565458994346240,247.554529,21.489545,22.002254,-0.7400261300664068
1415230383034813824,262.608058,52.301443,8.919816,-2.6999345212857895
2971266110612490624,83.182585,-17.822282,1.68172,-6.3177185545143875
4337352305320149760,249.289798,-10.566976,7.408846,-3.09465116176436
5099455184968674560,49.879422,-21.75772,10.615269,-2.280786979823688
5502164890740285696,102.484267,-50.614848,18.757713,-1.0156015664656408
