# Completeness = 5063 / 10000
RA	Dec	magnitude
44.269136	4.501126	5.026577
48.109812	6.660882	5.134409
45.593899	4.352914	5.600941
52.601894	11.336366	5.115597
51.042312	12.629502	5.593529
53.149901	9.373236	5.744525
41.240479	12.445372	5.120831
36.204502	10.610492	5.458158
39.159268	12.447251	5.491918
39.028385	6.893339	5.498320
37.397325	9.565636	5.834278
42.873413	15.081958	5.500588
41.137397	15.311788	5.747236
47.841259	13.047916	5.824617
52.718326	12.936672	3.836123
65.594695	20.821405	5.088222
62.292024	19.609076	5.212071
64.903074	21.773307	5.319738
61.997611	17.339854	5.328031
64.858877	21.142115	5.480601
64.597141	21.579147	5.553771
48.725285	21.044119	4.864996
50.306892	21.146978	5.336097
47.088133	18.794989	5.572535
55.578970	19.700197	5.656581
56.581671	23.948144	4.172742
56.302163	24.467064	4.261022
61.090297	24.105950	5.107828
51.077055	24.723876	5.146004
57.296831	24.136498	5.203287
57.086832	23.421039	5.428299
33.264219	15.279770	5.034757
38.225497	15.034754	5.867583
34.531341	19.901141	5.557039
40.591537	20.011260	5.727697
37.726812	17.703490	5.959320
25.622586	20.265519	4.999680
23.704577	18.460219	5.162082
28.962716	23.577277	5.405279
29.899355	21.058504	5.617947
30.927509	18.253160	5.729844
33.156626	24.167758	5.497919
32.800188	25.936921	5.558355
36.780023	27.012059	5.611208
30.914562	25.935532	5.676262
33.942747	25.782649	5.679015
44.522867	20.668593	5.690482
42.191559	25.188041	5.883260
48.835087	30.556701	5.589027
47.403190	29.077026	5.675223
49.982352	27.070806	5.683956
52.086401	33.807299	5.704680
49.146622	32.183634	5.709326
40.863019	27.707099	4.614954
36.865586	31.801156	5.220530
37.041503	29.668947	5.221282
40.171465	27.060824	5.276918
43.921986	31.043044	5.643720
44.690437	39.662542	4.648067
44.322017	31.934087	5.088136
43.427860	38.337105	5.266963
44.916248	41.032732	5.378367
44.509664	38.614852	5.579352
42.720379	35.393914	5.967968
65.088261	27.350409	4.599448
66.354770	22.199791	5.224731
65.645701	25.629240	5.375551
66.822705	22.996266	5.497208
67.003726	21.619716	5.657321
63.850525	24.078467	5.824597
77.909671	29.903470	5.399586
70.332526	28.614858	5.728745
76.060747	30.494507	5.791134
72.329598	32.588038	5.792547
61.751438	29.001344	5.116439
61.651825	27.599670	5.144544
62.745895	33.586735	5.238405
66.156323	33.959401	5.681193
66.121595	34.130606	5.717397
70.460767	38.279745	5.832274
78.357058	38.484163	4.731968
80.003836	33.958039	4.933316
78.851509	32.687655	4.945833
79.750191	33.748266	5.330472
81.726243	35.457223	5.662334
79.668059	40.465061	5.774948
81.186664	36.199906	5.851271
80.451825	41.804405	5.182961
80.061073	41.085970	5.405842
80.709565	41.029271	5.509264
82.702724	41.461836	5.699768
84.218383	40.182369	5.795647
69.172598	41.264752	3.810000
73.158111	36.703172	4.280531
72.477448	37.488454	4.326641
74.814461	37.889811	4.980049
70.726605	43.364908	5.305464
73.198929	42.586630	5.635859
89.840713	49.924527	5.508331
77.679213	46.961403	5.564871
81.977955	48.226486	5.889748
87.736114	51.514442	5.992681
80.802694	47.021569	6.049454
55.594374	33.965005	4.917594
57.386079	33.091399	5.134794
59.119555	35.080879	5.441631
55.282868	37.580073	5.533837
62.153502	38.038843	5.403285
65.060193	41.807957	5.706451
62.063564	37.726626	5.826869
