# Completeness = 30 / 61
RA	Dec	magnitude
75.541346	-26.275365	4.717308
78.851604	-26.943638	5.041214
80.442622	-24.773039	5.096439
76.317531	-26.152666	5.375147
87.831490	-20.881972	3.471287
86.114391	-22.450023	3.476823
82.781814	-20.863846	5.525043
85.560241	-17.530347	5.717367
85.840386	-18.557535	5.729550
75.356760	-20.051987	4.871151
71.267417	-21.283458	5.177084
71.901821	-16.933703	5.318377
73.778460	-16.740700	5.466238
73.827803	-16.417565	5.507933
78.307764	-12.941298	4.419652
80.875652	-13.927358	5.189320
79.417641	-13.520043	5.218480
79.995872	-12.315553	5.262699
76.957435	-12.593055	5.472393
81.118851	-16.975851	5.636658
79.712109	-18.129781	5.815227
