pl_name,hostname,ra,dec,sy_dist,sy_plx,sy_gaiamag
11 Com b,11 Com,185.1787793,17.7932516,93.1846000,10.7104000,4.4403800
11 UMi b,11 UMi,229.2745954,71.8239428,125.3210000,7.9538800,4.5621600
14 And b,14 And,352.8241500,39.2358367,75.4392000,13.2289000,4.9178100
14 Her b,14 Her,242.6021014,43.8163621,17.9323000,55.7363000,6.3830000
16 Cyg B b,16 Cyg B,295.4656422,50.5168243,21.1397000,47.2754000,6.0642800
17 Sco b,17 Sco,243.4620874,-11.8377905,124.9530000,7.9805000,4.754290\
18 Del b,18 Del,314.6078375,10.8391378,76.2220000,13.0922000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,242.3762343,-21.0831403,139.1350000,7.1594900,12.0572000
24 Boo b,24 Boo,217.1555242,49.8446488,95.9863000,10.3900000,5.3339000
24 Sex b,24 Sex,155.8684866,-0.9023998,72.0691000,13.8488000,6.2037400
24 Sex c,24 Sex,155.8684866,-0.9023998,72.0691000,13.8488000,6.2037400
2M0437 b,2MASS J04372171+2651014,69.3405531,26.8502997,128.4840000,7.7552400,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,15.8992489,-55.2658291,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,20.7128012,-24.6646128,33.8281000,29.5326000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,34.8427046,-39.4230767,,,15.0123000
2MASS J0249-0557 c,2MASS J0249-0557 A,42.4851627,-5.9599921,66.0613000,15.1097000,15.6894000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,59.7911026,20.1599759,117.4350000,8.4918300,16.9967000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,70.4371079,23.0308544,,,18.9668000
2MASS J11011926-7732383 b,2MASS J11011926-7732383,165.3295388,-77.5440912,,,18.3299000
2MASS J11550485-7919108 b,2MASS J11550485-7919108,178.7691634,-79.3197558,100.8620000,9.8861800,14.8180000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,181.8890906,-39.5484399,64.3080000,15.5242000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,294.6359173,46.0664076,396.3320000,2.4952200,12.1376000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,321.3662989,-81.6414894,34.1154000,29.2836000,10.8133000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,339.1025931,47.8616830,69.5737000,14.3444000,11.9484000
30 Ari B b,30 Ari B,39.2412736,24.6480103,44.6570000,22.3641000,6.9608500
4 UMa b,4 UMa,130.0528099,64.3280504,73.4603000,13.5901000,4.2377300
42 Dra b,42 Dra,276.4975053,65.5633652,90.6545000,11.0061000,4.4321600
47 UMa b,47 UMa,164.8647611,40.4304931,13.7967000,72.4528000,4.8783700
47 UMa c,47 UMa,164.8647611,40.4304931,13.7967000,72.4528000,4.8783700
47 UMa d,47 UMa,164.8647611,40.4304931,13.7967000,72.4528000,4.8783700
51 Eri b,51 Eri,69.4007424,-2.4738245,29.7575000,33.5770000,5.1580600
51 Peg b,51 Peg,344.3675399,20.7690958,15.4614000,64.6488000,5.2864700
55 Cnc b,55 Cnc,133.1468373,28.3298154,12.5855000,79.4274000,5.7297300
55 Cnc c,55 Cnc,133.1468373,28.3298154,12.5855000,79.4274000,5.7297300
55 Cnc d,55 Cnc,133.1468373,28.3298154,12.5855000,79.4274000,5.7297300
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855000,79.4274000,5.7297300
55 Cnc f,55 Cnc,133.1468373,28.3298154,12.5855000,79.4274000,5.7297300
6 Lyn b,6 Lyn,97.6960311,58.1611753,54.6599000,18.2668000,5.6068600
61 Vir b,61 Vir,199.5964550,-18.3157745,8.5033200,117.5730000,4.5405200
61 Vir c,61 Vir,199.5964550,-18.3157745,8.5033200,117.5730000,4.5405200
61 Vir d,61 Vir,199.5964550,-18.3157745,8.5033200,117.5730000,4.5405200
7 CMa b,7 CMa,99.1712760,-19.2561808,19.8101000,50.4571000,3.6785300
7 CMa c,7 CMa,99.1712760,-19.2561808,19.8101000,50.4571000,3.6785300
70 Vir b,70 Vir,202.1064898,13.7763085,17.9011000,55.8347000,4.7617800
75 Cet b,75 Cet,38.0391598,-1.0350269,82.9613000,12.0264000,5.0934300
75 Cet c,75 Cet,38.0391598,-1.0350269,82.9613000,12.0264000,5.0934300
8 UMi b,8 UMi,224.2016850,74.9009379,162.5520000,6.1230400,6.5589600
81 Cet b,81 Cet,39.4243555,-3.3963607,101.2600000,9.8489500,5.3758800
91 Aqr b,91 Aqr,348.9745031,-9.0878076,44.0304000,22.6884000,3.9531100
AB Aur b,AB Aur,73.9410446,30.5510888,162.1270000,6.1399600,7.0785400
AB Pic b,AB Pic,94.8039208,-58.0541184,50.0475000,19.9521000,8.8378000
AF Lep b,AF Lep,81.7699216,-11.9011752,26.8564000,37.2061000,6.1864400
AU Mic b,AU Mic,311.2911369,-31.3424500,9.7221000,102.8290000,7.8403800
AU Mic c,AU Mic,311.2911369,-31.3424500,9.7221000,102.8290000,7.8403800
AU Mic d,AU Mic,311.2911369,-31.3424500,9.7221000,102.8290000,7.8403800
BD+03 2562 b,BD+03 2562,177.5647268,2.7601075,1070.6300000,0.9034030,8.9977000
BD+14 4559 b,BD+14 4559,318.4010002,14.6893834,49.3520000,20.2337000,9.3510800
BD+15 2375 b,BD+15 2375,176.4820239,14.6163182,768.0450000,1.2732700,9.9918000
BD+15 2940 b,BD+15 2940,240.0956400,15.5467507,426.4200000,2.3168900,8.7178000
BD+20 2457 b,BD+20 2457,154.1867820,19.8912626,1539.7100000,0.5984970,9.2268400
BD+20 2457 c,BD+20 2457,154.1867820,19.8912626,1539.7100000,0.5984970,9.2268400
BD+20 274 b,BD+20 274,25.9203179,21.0052692,1322.5100000,0.7226190,8.9161300
BD+20 594 b,BD+20 594,53.6511231,20.5990205,179.4610000,5.5436600,10.8644000
BD+45 564 b,BD+45 564,32.9470485,45.9242187,53.6220000,18.6205000,9.4126600
BD+48 738 b,BD+48 738,40.7102869,49.5869395,871.4930000,1.1208600,8.6556900
BD+48 740 b,BD+48 740,40.7425426,48.9300579,666.5890000,1.4728900,8.2644900
BD+49 828 b,BD+49 828,45.6406187,49.7299481,442.0420000,2.2342000,9.0285100
BD+55 362 b,BD+55 362,23.9636676,56.6982282,52.5697000,18.9935000,9.1530500
BD+60 1417 b,BD+60 1417,190.8875453,60.0143636,44.9543000,22.2159000,9.1743900
BD+63 1405 b,BD+63 1405,271.3979337,63.6700064,38.0473000,26.2541000,8.7050000
BD-06 1339 b,BD-06 1339,88.2511811,-5.9963378,20.2695000,49.3062000,9.1067700
BD-06 1339 c,BD-06 1339,88.2511811,-5.9963378,20.2695000,49.3062000,9.1067700
BD-08 2823 b,BD-08 2823,150.1971964,-9.5165689,41.3342000,24.1641000,9.5033100
BD-08 2823 c,BD-08 2823,150.1971964,-9.5165689,41.3342000,24.1641000,9.5033100
BD-10 3166 b,BD-10 3166,164.6191243,-10.7704227,84.4069000,11.8187000,9.8398100
BD-11 4672 b,BD-11 4672,278.3688659,-11.6370481,27.1665000,36.7812000,9.4851100
BD-11 4672 c,BD-11 4672,278.3688659,-11.6370481,27.1665000,36.7812000,9.4851100
BD-13 2130 b,BD-13 2130,114.2884692,-13.9066703,925.2140000,1.0540200,9.6997100
BD-14 3065 b,BD-14 3065 A,153.6696689,-15.6428372,589.4230000,1.6684800,10.9100000
BD-17 63 b,BD-17 63,7.1413494,-16.2273254,34.4603000,28.9903000,9.2011200
BD-210397 b,BD-210397,33.3024198,-21.1962147,23.7324000,42.1075000,9.2596200
BD-210397 c,BD-210397,33.3024198,-21.1962147,23.7324000,42.1075000,9.2596200
CD Cet b,CD Cet,48.3530155,4.7751881,8.6071500,116.1540000,12.1232000
