RA,Dec
254.045582,-32.206741
254.049595,-32.204909
254.053582,-32.210344
254.051117,-32.210412
254.060481,-32.206478
254.053527,-32.195109
254.056640,-32.192492
254.055924,-32.208087
254.060036,-32.201609
254.055706,-32.203959
254.067201,-32.202378
92.021239,50.655280
254.066050,-32.199713
92.009694,50.667643
318.791886,41.840740
318.710104,42.568488
318.714165,42.551722
318.719548,42.557248
318.722067,42.560228
318.710835,42.552500
318.708999,42.551856
318.709124,42.554302
318.710964,42.560440
318.710003,42.562802
318.709146,42.561725
318.707838,42.561770
318.706415,42.562985
126.743187,-59.838037
318.713436,42.553770
254.049036,-32.200829
253.462654,-30.594503
253.458178,-30.594599
253.455937,-30.591086
253.460294,-30.590705
253.448558,-30.590349
253.454437,-30.596553
254.249689,-31.698792
253.449845,-30.595088
217.982762,-57.755822
92.016564,50.662439
254.240783,-31.704529
105.495056,46.846301
253.224559,-30.936188
316.169328,42.174263
142.607545,-50.236244
254.240736,-31.708700
315.542882,41.226498
315.552430,41.230679
315.554945,41.230889
315.550718,41.226149
315.549086,41.229107
315.545981,41.227107
315.542114,41.223523
315.548690,41.218815
315.552290,41.219091
315.548982,41.222185
315.553735,41.221164
315.554190,41.223116
315.544491,41.226088
315.542236,41.228975
218.491149,-57.094549
318.796500,41.835801
318.786790,41.841069
318.798444,41.833495
318.792113,41.830433
318.792400,41.842075
318.766964,41.825732
318.771432,41.830876
318.767183,41.837813
318.769201,41.841082
318.774702,41.831074
318.770643,41.831810
318.769951,41.828561
318.775959,41.836629
318.769240,41.839560
258.782935,-42.914851
253.225155,-30.935810
253.226986,-30.933506
253.220840,-30.936265
253.224599,-30.932777
253.225266,-30.930543
253.221059,-30.931614
253.220856,-30.929657
253.217065,-30.929085
253.213891,-30.930873
253.214582,-30.930076
253.226687,-30.938219
253.222092,-30.935734
253.234030,-30.931271
253.231145,-30.931889
253.231353,-30.932153
253.218050,-30.935233
253.420537,-30.616421
91.392177,53.431439
91.378140,53.425824
91.380075,53.441053
91.385390,53.444759
91.425953,53.451049
91.419480,53.455969
91.405318,53.459796
91.417584,53.445875
91.405370,53.459246
91.390373,53.454002
91.389083,53.452525
91.591363,53.383227
91.597523,53.384503
91.585989,53.405793
253.417470,-30.619397
316.663541,41.394973
316.665407,41.397026
316.677555,41.397871
316.676874,41.401664
316.665402,41.403951
316.672755,41.404844
316.672930,41.400250
316.669284,41.390404
316.675819,41.403986
316.663791,41.394418
316.667670,41.400988
316.661592,41.400925
316.675201,41.402283
316.673041,41.391339
316.674574,41.392641
259.285684,-43.317139
259.278395,-43.322574
259.282503,-43.321317
259.285188,-43.320232
259.283037,-43.326697
