# Completeness = 8372 / 10000
RA	Dec	magnitude
44.928757	8.907313	4.663585
51.203028	9.028539	3.382374
51.792571	9.732550	3.701829
41.236830	10.113962	4.153745
38.968519	5.593141	4.640125
43.442844	9.335718	4.899312
45.184282	10.870244	5.217064
46.598691	13.186974	5.351705
67.154674	19.180273	3.280453
61.174250	22.081670	4.065172
64.315063	20.578333	4.864198
47.908087	19.726648	4.064342
50.688251	20.742003	4.701843
57.290689	24.053212	3.615795
56.219005	24.113133	3.698209
56.456796	24.367541	3.863349
30.646145	13.476706	5.012336
39.704115	21.961335	5.416268
42.133896	18.283647	5.452237
28.382917	19.293423	4.562396
32.657072	19.500216	4.687407
29.337913	17.817467	4.843748
29.481705	23.596004	4.703514
34.737509	28.642679	5.274439
44.802948	21.340396	5.212811
50.084806	29.048386	3.866792
49.682625	34.222618	4.352332
50.549586	27.607490	5.238868
41.978024	29.246563	4.197216
38.945233	34.687333	4.473691
42.878540	35.059461	3.901517
42.647189	38.318157	4.140083
44.765068	35.183160	4.561302
66.342853	22.293674	4.167236
66.577450	22.813375	4.228601
70.561262	22.956827	4.321627
74.248437	33.166015	2.197542
72.303621	31.436915	5.236925
58.533044	31.883595	2.821990
65.102527	34.566695	4.680650
66.526670	31.438360	5.030899
79.544217	33.370898	4.116195
81.163086	37.385300	4.515971
79.788339	40.096098	4.525885
81.912010	34.475707	4.629645
89.983717	45.936700	3.088297
87.293328	39.180961	4.250250
75.492232	43.823297	2.847648
75.619586	41.075746	3.163279
76.628902	41.234172	3.172348
79.565519	42.791975	4.171068
86.475098	49.826288	5.446195
56.079756	32.288203	3.842228
59.741264	35.791042	3.974884
59.463595	40.010095	2.904279
63.722212	40.483532	4.385077
47.822283	39.611601	4.303629
50.360289	43.329647	4.930196
55.731412	47.787393	2.982313
56.298378	42.578541	3.663778
63.724475	48.409256	3.846112
74.321473	53.752138	4.449441
76.669090	51.596958	4.898983
88.711473	55.707024	4.936649
84.146694	54.428611	5.014945
64.561214	50.295253	4.582041
69.977799	53.079464	4.751208
64.179416	53.611799	5.169462
75.854496	60.442182	3.789696
82.542459	63.067198	4.606586
80.094181	62.653701	4.924969
33.092501	30.302806	4.881029
29.432333	27.804110	4.951292
17.915448	30.089519	4.198022
20.280865	28.737876	4.749115
20.919696	37.714860	5.539443
25.514806	35.245592	5.619659
34.328856	33.846963	4.016055
38.025955	36.147325	4.587791
40.562035	40.193123	4.721669
