# Completeness = 146 / 175
RA	Dec	magnitude
247.554529	21.489545	2.547638
252.938636	24.656457	4.678733
255.072142	30.926523	3.913435
252.662299	29.806528	5.051331
245.523762	30.892473	4.592602
240.360493	29.851030	4.954191
245.589296	33.798882	4.374620
245.621713	33.703701	4.784998
258.761657	36.809175	2.702518
260.920340	37.145940	4.473285
269.202294	45.350708	4.598965
268.325156	40.008186	4.805308
250.724223	38.921875	3.244630
248.525667	42.437206	4.132682
264.866151	46.006348	3.790645
260.087806	46.240959	4.841345
233.812303	39.010106	4.375866
237.808000	35.655833	4.511343
247.160794	41.881651	2.723670
244.935069	46.313533	3.887130
231.121793	37.377554	4.150256
232.732394	40.833011	4.360903
240.662772	47.240631	3.658457
249.686529	48.928459	4.015113
252.309385	45.983097	4.833403
262.608058	52.301443	2.548286
268.382968	56.872993	3.384271
251.324341	56.782119	4.722477
249.501906	56.015855	4.975124
